id,product_name,category,sub_category,price,profit,stock,created_time,modified_time
1,iPhone 15 Pro,Electronics,Smartphones,15000000,5,10,2025-03-03,
2,Samsung Galaxy S23,Electronics,Smartphones,20000000,5,5,2025-03-03,
3,MacBook Pro M3,Electronics,Laptops,22000000,5,20,2025-03-03,
4,Asus Zenbook Flip,Electronics,Laptops,11000000,5,20,2025-03-03,
5,Asus ROG Zephyrus G14,Electronics,Laptops,15000000,5,30,2025-03-03,
6,JBL Flip 6,Electronics,Speakers,3000000,10,100,2025-03-03,
7,Logitech MX Master 3,Electronics,Accessories,1700000,20,200,2025-03-03,
8,Air Jordan 1 Retro High Dior,Apparel,Footwear,125000000,2,5,2025-03-03,
9,Adidas Ultraboost,Apparel,Footwear,3000000,10,20,2025-03-03,
10,versace chain contour,Apparel,Clothing,2700000,10,20,2025-03-03,
11,Rolex Submariner,Fashion,Watches,150000000,2,5,2025-03-03,
12,Fossil Leather Wallet,Fashion,Accessories,1000000,5,10,2025-03-03,
13,"Samsung 65"" Smart TV",Home Appliances,Televisions,10000000,5,40,2025-03-03,
14,Dyson V15 Vacuum,Home Appliances,Cleaning Devices,2000000,10,200,2025-03-03,
15,Philips Air Fryer,Home Appliances,Kitchen Appliances,700000,10,200,2025-03-03,
